iter	Passed	Remaining
786	1794	485
787	1796	483
788	1798	480
789	1800	478
790	1805	477
791	1807	474
792	1809	472
793	1810	469
794	1812	467
795	1814	464
796	1817	462
797	1819	460
798	1822	458
799	1824	456
800	1826	453
801	1829	451
802	1832	449
803	1833	447
804	1835	444
805	1837	442
806	1838	439
807	1840	437
808	1842	435
809	1845	432
810	1846	430
811	1848	428
812	1850	425
813	1851	423
814	1853	420
815	1856	418
816	1857	416
817	1859	413
818	1861	411
819	1863	409
820	1864	406
821	1866	404
822	1871	402
823	1873	400
824	1875	397
825	1877	395
826	1878	393
827	1880	390
828	1885	388
829	1887	386
830	1889	384
831	1891	381
832	1892	379
833	1893	376
834	1898	375
835	1899	372
836	1901	370
837	1903	367
838	1904	365
839	1906	363
840	1907	360
841	1910	358
842	1912	356
843	1914	353
844	1915	351
845	1917	348
846	1918	346
847	1920	344
848	1923	342
849	1925	339
850	1927	337
851	1928	335
852	1930	332
853	1931	330
854	1934	327
855	1937	325
856	1939	323
857	1941	321
858	1942	318
859	1944	316
860	1945	314
861	1948	311
862	1950	309
863	1952	307
864	1954	305
865	1955	302
866	1957	300
867	1958	297
868	1963	295
869	1964	293
870	1966	291
871	1968	288
872	1969	286
873	1971	284
874	1972	281
875	1976	279
876	1977	277
877	1979	275
878	1981	272
879	1982	270
880	1983	267
881	1985	265
882	1988	263
883	1990	261
884	1991	258
885	1993	256
886	1994	254
887	1996	251
888	1998	249
889	2000	247
890	2003	245
891	2005	242
892	2006	240
893	2007	238
894	2009	235
895	2011	233
896	2015	231
897	2017	229
898	2018	226
899	2020	224
900	2021	222
901	2023	219
902	2025	217
903	2027	215
904	2029	213
905	2030	210
906	2032	208
907	2033	206
908	2035	203
909	2037	201
910	2040	199
911	2042	197
912	2043	194
913	2045	192
914	2046	190
915	2048	187
916	2049	185
917	2052	183
918	2054	181
919	2056	178
920	2057	176
921	2059	174
922	2060	171
923	2063	169
924	2066	167
925	2068	165
926	2069	162
927	2071	160
928	2072	158
929	2074	156
930	2075	153
931	2078	151
932	2080	149
933	2082	147
934	2083	144
935	2085	142
936	2086	140
937	2088	138
938	2091	135
939	2094	133
940	2095	131
941	2097	129
942	2098	126
943	2100	124
944	2102	122
945	2106	120
946	2107	117
947	2109	115
948	2110	113
949	2112	111
950	2114	108
951	2115	106
952	2119	104
953	2121	102
954	2122	100
955	2124	97
956	2125	95
957	2127	93
958	2129	91
959	2131	88
960	2133	86
961	2135	84
962	2137	82
963	2141	79
964	2143	77
965	2144	75
966	2146	73
967	2148	71
968	2149	68
969	2151	66
970	2155	64
971	2156	62
972	2157	59
973	2159	57
974	2161	55
975	2162	53
976	2164	50
977	2168	48
978	2169	46
979	2171	44
980	2173	42
981	2174	39
982	2175	37
983	2177	35
984	2180	33
985	2181	30
986	2183	28
987	2184	26
988	2186	24
989	2187	22
990	2189	19
991	2192	17
992	2194	15
993	2196	13
994	2197	11
995	2199	8
996	2200	6
997	2202	4
998	2205	2
999	2207	0
